disease,term,note
"Abortion, Habitual",DOID:229,chosen_name=female reproductive system disease | Replaced obsolete habitual abortion with active higher-level pregnancy-related fallback in current DO. | DO term status: active. | remap_from_obsolete=yes.
"Abortion, Spontaneous",DOID:229,chosen_name=female reproductive system disease | Replaced obsolete spontaneous abortion with active pregnancy-related fallback in current DO. | DO term status: active. | remap_from_obsolete=yes.
Acute Coronary Syndrome,DOID:8805,"chosen_name=intermediate coronary syndrome | Mapped to the active DO term intermediate coronary syndrome, the closest clinical equivalent in DO. | DO term status: active. | mapping_type=exact_active; confidence=medium."
Acute Kidney Injury,DOID:3021,chosen_name=acute kidney failure | Closest active DO term: acute kidney failure. | DO term status: active. | mapping_type=exact_active; confidence=high.
Acute Liver Injury,DOID:409,chosen_name=liver disease | Exact acute liver injury term not present; mapped to broad active parent liver disease. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Acute Lung Injury,DOID:11394,chosen_name=adult respiratory distress syndrome | Exact acute lung injury term not present; mapped to active clinical entity adult respiratory distress syndrome / ARDS as closest DO match. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Aging,DOID:4,chosen_name=disease | Aging is not a disease term in DO; mapped to the root disease term as a fallback only. | DO term status: active. | mapping_type=fallback_general; confidence=low.
Bone-Invasive Pituitary Adenomas,DOID:3829,chosen_name=pituitary adenoma | Mapped to pituitary adenoma; invasive bone behavior is not separately represented here. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Breast Cancer Lung Metastasis,DOID:1612,chosen_name=breast cancer | Replaced obsolete lung metastasis with active primary cancer term because current DO lacks a clean active secondary lung metastasis class. | DO term status: active. | remap_from_obsolete=yes.
Capsule Opacification,DOID:83,chosen_name=cataract | Likely posterior capsule opacification / secondary cataract; mapped to cataract as closest active DO term. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Cardiac Fibrosis,DOID:12932,chosen_name=endomyocardial fibrosis | No generic cardiac fibrosis term found; mapped to endomyocardial fibrosis as closest active cardiac fibrosis disease term. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Cardiac Mitophagy,DOID:114,"chosen_name=heart disease | Mitophagy is a process, not a disease term; mapped to heart disease as a broad fallback. | DO term status: active. | mapping_type=fallback_general; confidence=low."
Cardiomegaly,DOID:114,chosen_name=heart disease | Cardiomegaly is a phenotype/finding; mapped to broad heart disease. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Cardiomyocyte Hypoxia/Reoxygenation Injury,DOID:9767,chosen_name=myocardial stunning | Cell-model injury mapped to myocardial stunning as the closest reperfusion-related myocardial disease term. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Cardiovascular Diseases,DOID:1287,chosen_name=cardiovascular system disease | Exact active broad DO term. | DO term status: active. | mapping_type=exact_active; confidence=high.
Cerebral Hemorrhage,DOID:0051063,chosen_name=hemorrhagic stroke | Mapped to hemorrhagic stroke as closest active cerebrovascular hemorrhage term. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Cerebral Ischaemia/Reperfusion Injury,DOID:0051062,chosen_name=ischemic stroke | Mapped to ischemic stroke as closest active disease entity. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Cerebral Ischemia/Reperfusion Injury,DOID:0051062,chosen_name=ischemic stroke | Mapped to ischemic stroke as closest active disease entity. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Chlorophyll A,DOID:4,chosen_name=disease | Not a disease term; mapped to root disease only as a fallback. | DO term status: active. | mapping_type=fallback_general; confidence=low.
"Cicatrix, Hypertrophic",DOID:37,chosen_name=skin disease | Hypertrophic scar/keloid-style label not represented cleanly; mapped to skin disease. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Colorectal Cancer Liver Metastasis,DOID:9256,chosen_name=colorectal cancer | Replaced obsolete liver metastasis with active primary cancer term because current DO lacks a clean active secondary liver metastasis class. | DO term status: active. | remap_from_obsolete=yes.
Colorectal Cancer Patients With Type 2 Diabetes,DOID:9256,chosen_name=colorectal cancer | This is a cohort/comorbidity description; mapped to colorectal cancer as primary disease phrase. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Coronary Slow Flow Endothelial Dysfunction,DOID:3393,chosen_name=coronary artery disease | Mapped to coronary artery disease as closest active coronary pathology term. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Cryptosporidium Parvum Infection,DOID:1733,chosen_name=cryptosporidiosis | Exact active disease match: cryptosporidiosis. | DO term status: active. | mapping_type=exact_active; confidence=high.
